Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
Advanced Mfg,Accepted,10018,INTERMARKET APPAREL LLC,First-Line Supervisors of Production and Operating Workers,INDIA,none
Finance,Accepted,10019,ING FINANCIAL SERVICES LLC,Securities; Commodities; and Financial Services Sales Agents,SINGAPORE,none
Finance,Accepted,10001,SHALBAF; LLC.,Accountants and Auditors,IRAN,none
Other Economic Sector,Accepted,11101,MEDIAMORPHOSIS LLC,Market Research Analysts and Marketing Specialists*,INDIA,none
Finance,Accepted,10178,TIGER GLOBAL MANAGEMENT; LLC,Financial Managers,IRELAND,none
IT,Accepted,10173,SUNGARD KIODEX INC.,Software Developers; Applications,INDIA,none
Construction,Accepted,11378,PENAVA MECHANICAL CORP,Mechanical Engineers,RUSSIA,none
IT,Accepted,10010,BLUE WOLF GROUP; LLC,Software Developers; Applications,INDIA,none
IT,Accepted,10010,BLUE WOLF GROUP; LLC,Software Developers; Applications,BARBADOS,none
Finance,Accepted,10038,CHARTIS GLOBAL CLAIMS SERVICES; INC.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10036,SHAH DIAMONDS; INC.,Market Research Analysts and Marketing Specialists*,INDIA,none
Advanced Mfg,Accepted,11232,ASSIST MEDICAL SUPPLIES CORP.,Compliance Officers,TURKEY,none
Health Care,Accepted,11385,FRESH POND PHYSICAL THERAPY,Operations Research Analysts,PHILIPPINES,none
Other Economic Sector,Accepted,10017,LAW OFFICE OF SOO ELIZABETH NAM,Archivists,SOUTH KOREA,none
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Software Developers; Applications,KOSOVO,none
Other Economic Sector,Accepted,10036,IKE KLIGERMAN BARKLEY ARCHITECTS P.C.,Interior Designers,TAIWAN,none
Finance,Accepted,10022,CITIGROUP GLOBAL MARKETS INC.,Securities; Commodities; and Financial Services Sales Agents,ISRAEL,none
Finance,Accepted,10166,BARCLAYS BANK PLC,Market Research Analysts and Marketing Specialists*,INDIA,none
Other Economic Sector,Accepted,11366,6 PLEASANT RIDGE LLC,Executive Secretaries and Executive Administrative Assistants,SOUTH KOREA,none
Not Available,Accepted,11101,PERSONAL COMMIUNICATION CENTER,Market Research Analysts and Marketing Specialists*,INDIA,none
Finance,Accepted,10018,MARKIT,Financial Managers,SINGAPORE,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Software Developers; Applications,INDIA,none
Hospitality,Accepted,10023,PASHA; INC,Chefs and Head Cooks,TURKEY,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10019,NICOSIA CREATIVE EXPRESSO; LTD.,Graphic Designers,CANADA,none
Not Available,Denied,10016,MPHASIS CORPORATION,Not Available,INDIA,none
Not Available,Denied,10305,ARIEMMAS ITALIAN DELI,Not Available,MEXICO,none
IT,Accepted,10038,TTI OF NY; INC,Computer Systems Analysts,INDIA,none
Finance,Accepted,10022,ABG SUNDAL COLLIER; INC.,Financial Analysts,SWEDEN,none
Other Economic Sector,Accepted,10158,ANTI-DEFAMATION LEAGUE,Public Relations Specialists,MEXICO,none
Not Available,Denied,10111,BOWERY KITCHEN SUPPLY; INC.,Not Available,MEXICO,none
IT,Accepted,10010,BLUE WOLF GROUP LLC,Computer Systems Analysts,INDIA,none
IT,Accepted,10016,ENABLEIT LLC.,Software Developers; Applications,CANADA,none
Other Economic Sector,Accepted,10011,MERGERMARKET (U.S.) LTD.,Financial Analysts,CHINA,none
Finance,Accepted,10281,BROOKFIELD INVESTMENT MANAGEMENT INC,Financial Analysts,CANADA,none
Finance,Accepted,10153,RUANE; CUNNIFF & GOLDFARB INC.,Operations Research Analysts,INDIA,none
Educational Services,Accepted,10038,PACE UNIVERSITY,Criminal Justice and Law Enforcement Teachers; Postsecondary,TURKEY,none
Finance,Accepted,10018,MARKIT,Computer Systems Analysts,SWEDEN,none
Finance,Accepted,10018,MARKIT,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,EAST-WEST MANAGEMENT INSTITUTE; INC.,Accountants and Auditors,ZIMBABWE,none
Hospitality,Accepted,10001,FAREPORTAL; INC.,Computer and Information Systems Managers,INDIA,none
Finance,Accepted,10285,AMERICAN EXPRESS COMPANY,Financial Managers,MEXICO,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
IT,Accepted,10018,INFINITY CONSULTING SOLUTIONS INC.,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Reporters and Correspondents,UNITED KINGDOM,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,INDIA,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA,none
IT,Accepted,10001,AKA ENTERPRISE SOLUTIONS; INC,Computer Systems Analysts,INDIA,none
Finance,Accepted,10166,BARCLAYS BANK PLC,Financial Analysts,INDIA,none
IT,Accepted,10010,BOYLE SOFTWARE; INC.,Software Developers; Applications,INDIA,none
IT,Accepted,10018,FINSOFT CONSULTANTS INC.,Computer Programmers,INDIA,none
Advanced Mfg,Accepted,11237,ALL STAR SHEET METAL; INC.,Structural Metal Fabricators and Fitters,ECUADOR,none
Other Economic Sector,Accepted,10019,WILLKIE FARR & GALLAGHER LLP,Lawyers,UNITED KINGDOM,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10036,THOMSON REUTERS MARKETS LLC,Computer Systems Analysts,UNITED KINGDOM,none
IT,Accepted,10036,NORTHPOINT SOLUTIONS,Software Developers; Applications,INDIA,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Systems Analysts,INDIA,none
Hospitality,Accepted,10031,ANOTHER SLICE; INC. D.B.A DOMINOS PIZZA,First-Line Supervisors of Food Preparation and Serving Workers,ECUADOR,none
Finance,Accepted,10166,BARCLAYS BANK PLC,Software Developers; Applications,INDIA,none
Finance,Accepted,10036,D. E. SHAW & CO.; L.P.,Financial Analysts,RUSSIA,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Software Developers; Applications,INDIA,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA,none
Aerospace,Accepted,10121,COSENTINI ASSOCIATES,Mechanical Engineers,CHINA,none
Other Economic Sector,Accepted,10007,OMNICOM MEDIA GROUP HOLDINGS INC,Software Developers; Applications,INDIA,none
Advanced Mfg,Accepted,10036,H.K.DESIGNS INC,Market Research Analysts and Marketing Specialists*,INDIA,none
Hospitality,Accepted,10001,FLYTIME TOURS & TRAVEL,Accountants and Auditors,PAKISTAN,none
Other Economic Sector,Accepted,10013,DANIEL J. EDELMAN; INC.,Public Relations and Fundraising Managers,CANADA,none
IT,Accepted,10036,HOUSE OF CODE,Computer and Information Systems Managers,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Logisticians,CANADA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Mathematicians,ITALY,none
Advanced Mfg,Accepted,10018,ORGANIC MOTION; INC.,Computer and Information Research Scientists,AUSTRALIA,none
Finance,Accepted,10018,THE NEW YORK TIMES COMPANY,Computer and Information Systems Managers,BRAZIL,none
Finance,Accepted,10166,BARCLAYS BANK PLC,Securities; Commodities; and Financial Services Sales Agents,INDIA,none
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Financial Examiners,INDIA,none
Health Care,Accepted,10029,PHYSICIAN AFFILIATE GROUP OF NEW YORK,Physician Assistants,TRINIDAD AND TOBAGO,none
Other Economic Sector,Accepted,10022,AJAY BHUMITRA,Home Health Aides,PHILIPPINES,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Sales Engineers,MALAYSIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CHINA,none
Other Economic Sector,Accepted,11354,RAYMOND CHAN ARCHITECT; P.C.,Architects; Except Landscape and Naval,CHINA,none
Other Economic Sector,Accepted,10003,PURPOSE CAMPAIGNS LLC,Management Analysts,AUSTRALIA,none
Other Economic Sector,Accepted,10022,FRESHFIELDS BRUCKHAUS DERINGER LLP,Lawyers,INDIA,none
Other Economic Sector,Accepted,10005,SKIDMORE; OWINGS & MERRILL LLP,Civil Engineers,SOUTH KOREA,none
Finance,Accepted,10022,BLACKROCK FINANCIAL MANAGEMENT,Financial Analysts,CANADA,none
Other Economic Sector,Accepted,10012,SOHO THINK PINK SPA; INC.,First-Line Supervisors of Personal Service Workers,SOUTH KOREA,none
Finance,Accepted,10282,GOLDMAN SACHS & CO.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Software Developers; Applications,INDIA,none
Retail,Accepted,10017,SAKS INCORPORATED,Computer Systems Analysts,NEPAL,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Systems Software,INDIA,none
Retail,Accepted,10037,LENOX TERRACE PHARMACY,Pharmacists,INDIA,none
Finance,Accepted,10018,HSBC SECURITIES (USA) INC.,Financial Managers,GERMANY,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer and Information Systems Managers,INDIA,none
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,INDIA,none
Finance,Accepted,10153,BARON CAPITAL; INC.,Software Developers; Applications,INDIA,none
Finance,Accepted,10022,ZIFF BROTHERS INVESTMENTS,Financial Managers,INDIA,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA,none
IT,Accepted,10038,ARISTON TEK; INC,Software Developers; Applications; Non R & D (ACWIA Only),INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,BULGARIA,none
Finance,Accepted,10020,THE BANK OF TOKYO-MITSUBISHI UFJ; LTD.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CANADA,none
Finance,Accepted,10019,CHRISTOFFERSON; ROBB & COMPANY,Financial Managers,JAPAN,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA,none
Finance,Accepted,10019,TRIOGEM ASSET MANAGEMENT LP,Financial Analysts,RUSSIA,none
IT,Accepted,10001,DTG CONSULTING SOLUTIONS; INC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Human Resources; Training; and Labor Relations Specialists; All Other*,BRAZIL,none
Finance,Accepted,10022,BLACKROCK FINANCIAL MANAGEMENT,Software Developers; Applications,INDIA,none
Hospitality,Accepted,10001,FAREPORTAL; INC.,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
Other Economic Sector,Accepted,10004,SULLIVAN & CROMWELL LLP,Lawyers,CHINA,none
Other Economic Sector,Accepted,11101,INDOAMERICAN BUSINESS INC,Accountants and Auditors,INDIA,none
Other Economic Sector,Accepted,10022,BULGARI CORPORATION OF AMERICA,Watch Repairers,SWITZERLAND,none
Other Economic Sector,Accepted,10001,AMALGAMATED LLC,Writers and Authors,CANADA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Retail,Accepted,10017,AVON PRODUCTS; INC,Software Developers; Applications,TUNISIA,none
Other Economic Sector,Accepted,10013,BBG TECHNICAL SERVICES; INC.,Interior Designers,SOUTH KOREA,none
Other Economic Sector,Accepted,10013,DANIEL J. EDELMAN; INC.,Public Relations Specialists,UNITED KINGDOM,none
Finance,Accepted,10022,CITIGROUP GLOBAL MARKETS INC.,Software Developers; Systems Software,TAIWAN,none
Finance,Accepted,10018,HSBC SECURITIES (USA) INC.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10004,TRINE ASPECTS; LTD.,Software Developers; Applications,INDIA,none
Finance,Accepted,10167,ANGELO; GORDON & CO.; L.P.,Financial Managers,ROMANIA,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer and Information Systems Managers,INDIA,none
Other Economic Sector,Accepted,10019,THE MUSEUM OF MODERN ART,Chemists,PORTUGAL,none
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10174,EUROPEAN-AMERICAN BUSINESS ORGANIZATION; INC.,Marketing Managers,GERMANY,none
Retail,Accepted,10017,AVON PRODUCTS; INC,Software Developers; Systems Software,INDIA,none
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,SRI LANKA,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,INDIA,none
Educational Services,Accepted,11375,BELLE ARTI CENTER FOR THE ARTS; L.L.C.,Instructional Coordinators,JAPAN,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CANADA,none
Finance,Accepted,10007,MOODYS INVESTORS SERVICE; INC.,Financial Analysts,NEPAL,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,CHINA,none
Other Economic Sector,Accepted,11358,ANTIOCH MISSIONARY CHURCH,Office Clerks; General,SOUTH KOREA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
Finance,Accepted,10018,HSBC SECURITIES (USA) INC.,Marketing Managers,BRAZIL,none
Other Economic Sector,Accepted,10007,MOODYS ANALYTICS,Financial Analysts,INDIA,none
Retail,Accepted,10017,AVON PRODUCTS; INC,Software Developers; Applications,INDONESIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,HUNGARY,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CHINA,none
Finance,Accepted,10017,LAURION CAPITAL,Network and Computer Systems Administrators*,INDIA,none
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Systems Analysts,INDIA,none
Retail,Accepted,10017,AVON PRODUCTS; INC,Software Developers; Applications,INDIA,none
Health Care,Accepted,11201,CCMS,Financial Managers,BURMA (MYANMAR),none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,CANADA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CANADA,none
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Marketing Managers,CHINA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Economists,GERMANY,none
Educational Services,Accepted,11201,NEW YORK CITY COLLEGE OF TECHNOLOGY,Computer Science Teachers; Postsecondary,SOUTH KOREA,none
Educational Services,Accepted,10032,COLUMBIA UNIVERSITY,Physicians and Surgeons; All Other,CANADA,none
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Computer Systems Analysts,UNITED KINGDOM,none
Finance,Accepted,10166,BARCLAYS SERVICES CORP,Software Developers; Applications,INDIA,none
Finance,Accepted,10022,ZIFF BROTHERS INVESTMENTS,Financial Analysts,HONG KONG,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10007,MOODYS ANALYTICS,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,11415,DAG JEWISH DIRECTORIES; INC.,Desktop Publishers,ISRAEL,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,CHINA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDONESIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CHINA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,PHILIPPINES,none
Other Economic Sector,Accepted,10036,ADVANCE MAGAZINE PUBLISHERS INC. DBA COND NAST,Computer and Information Systems Managers,INDIA,none
Finance,Accepted,10158,NEUBERGER BERMAN GROUP LLC,Computer Systems Analysts,INDIA,none
Advanced Mfg,Accepted,10013,OLIVIER CHENG CATERING AND EVENTS; LLC,Graphic Designers,HONG KONG,none
Other Economic Sector,Accepted,10014,PULSEPOINT; INC.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,PHILIPPINES,none
Retail,Accepted,10017,AVON PRODUCTS; INC,Network and Computer Systems Administrators*,INDIA,none
Other Economic Sector,Accepted,10038,AMBROSE EMPLOYER GROUP; LLC,Computer Systems Analysts,INDIA,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
Not Available,Denied,11432,SAROJ GUPTA; MD,Not Available,PHILIPPINES,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,SOUTH KOREA,none
Finance,Accepted,10041,EMBLEMHEALTH SERVICES CO.; LLC,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10017,CLAIRE ROSENSTEIN,Personal Care Aides,PHILIPPINES,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,INDIA,none
Finance,Accepted,10005,VALIDUS SERVICES; INC,Insurance Underwriters,COLOMBIA,none
Finance,Accepted,10166,BARCLAYS BANK PLC,Economists,UNITED KINGDOM,none
Advanced Mfg,Accepted,11104,LUZ MARINA RODRIGUEZ D/B/A CAFE COLOMBIA BAKERY,Bakers,VENEZUELA,none
Finance,Accepted,10004,THE GUARDIAN LIFE INSURANCE CO. OF AMERICA,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10016,HMS,Software Developers; Applications,INDIA,none
Finance,Accepted,10036,STANDARD CHARTERED BANK,Financial Managers,CHINA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Finance,Accepted,10166,BARCLAYS CAPITAL INC.,Financial Analysts,GERMANY,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Network and Computer Systems Administrators*,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,TAIWAN,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,CANADA,none
Other Economic Sector,Accepted,10036,THOMSON REUTERS MARKETS LLC,Software Developers; Applications,INDIA,none
Finance,Accepted,10018,THE NEW YORK TIMES COMPANY,Software Developers; Applications,CANADA,none
Hospitality,Accepted,10281,PJ CLARKES ON THE HUDSON,Cooks; Restaurant,MEXICO,none
Other Economic Sector,Accepted,10012,SCHOLASTIC INC.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,INDIA,none
Finance,Accepted,10018,THE NEW YORK TIMES COMPANY,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CHINA,none
Other Economic Sector,Accepted,10013,YERMAN & ASSOCIATES LLC,Executive Secretaries and Executive Administrative Assistants,CHINA,none
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Mechanical Engineers,INDIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CHINA,none
Other Economic Sector,Accepted,10006,HANNUM FERETIC PRENDERGAST & MERLINO LLC,Paralegals and Legal Assistants*,TAIWAN,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,SOUTH KOREA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Logisticians,INDIA,none
Other Economic Sector,Accepted,10036,THOMSON REUTERS MARKETS LLC,Editors,SINGAPORE,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,SOUTH KOREA,none
Health Care,Accepted,11101,ALLIEDMEDIX RESOURCES INC,Occupational Therapists,PHILIPPINES,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,CANADA,none
Health Care,Accepted,11101,ALLIEDMEDIX RESOURCES INC,Occupational Therapists,PHILIPPINES,none
Health Care,Accepted,11101,ALLIEDMEDIX RESOURCES INC,Occupational Therapists,PHILIPPINES,none
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Financial Analysts,CHINA,none
Other Economic Sector,Accepted,11360,THE GRACE KOREAN PRESBETERIAN CHURCH,Clergy,SOUTH KOREA,none
Other Economic Sector,Accepted,10010,MADISON LOGIC INC,Software Developers; Applications,INDIA,none
Finance,Accepted,10022,CITIGROUP GLOBAL MARKETS INC.,Financial Managers,BRAZIL,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Management Analysts,INDIA,none
Other Economic Sector,Accepted,11354,CHARLES C KHYM & COMPANY; PC,Technical Writers,SOUTH KOREA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10003,HORTON LEES BROGDEN LIGHTING DESIGN INC.,Interior Designers,JAPAN,none
Finance,Accepted,10119,PRISMA CAPITAL PARTNERS LP,Financial Managers,CANADA,none
Educational Services,Accepted,10019,JOHN JAY COLLEGE OF CRIMINAL JUSTICE,Mathematical Science Teachers; Postsecondary,CHINA,none
Health Care,Accepted,11101,ALLIEDMEDIX RESOURCES INC,Occupational Therapists,PHILIPPINES,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,CHINA,none
Finance,Accepted,10007,MOODYS INVESTORS SERVICE; INC.,Financial Analysts,INDIA,none
IT,Accepted,11427,LIIAMRA BUSINESS STRATEGIES INC,Software Developers; Applications,PAKISTAN,none
Finance,Accepted,10105,FORTRESS INVESTMENT GROUP LLC,Financial Analysts,CHINA,none
Health Care,Accepted,10029,PHYSICIAN AFFILIATE GROUP OF NEW YORK,Obstetricians and Gynecologists,IRAN,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,INDIA,none
Finance,Accepted,10017,BANK OF CHINA,Financial Analysts,CHINA,none
IT,Accepted,10001,OPENWAVE COMPUTING LLC,Human Resources; Training; and Labor Relations Specialists; All Other*,INDIA,none
Advanced Mfg,Accepted,11202,ENVIREX PEST CONTROL & PROTECTION INC.,Pest Control Workers,ST VINCENT,none
Other Economic Sector,Accepted,10014,WOLFF OLINS LLC,Marketing Managers,SOUTH AFRICA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,DOMINICA,none
Other Economic Sector,Accepted,10018,BY DESIGN LLC,Budget Analysts,SOUTH KOREA,none
Not Available,Accepted,11218,KINGS READY MIX INC.,Heavy and Tractor-Trailer Truck Drivers,ECUADOR,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,SOUTH KOREA,none
Finance,Accepted,10022,ALLEN & COMPANY LLC,Computer Programmers,INDIA,none
Other Economic Sector,Accepted,11354,HAN MA UM ZEN CENTER OF NEW YORK; INC.,Curators,SOUTH KOREA,none
Other Economic Sector,Accepted,10036,VIACOM INTERNATIONAL; INC. (D/B/A VIACOM MEDIA NET,Computer and Information Systems Managers,INDIA,none
Advanced Mfg,Accepted,10017,PFIZER INC,Biochemists and Biophysicists,UNITED KINGDOM,none
Other Economic Sector,Accepted,10010,TNS CUSTOM RESEARCH,Software Developers; Applications,CANADA,none
Health Care,Accepted,11101,ALLIEDMEDIX RESOURCES INC,Speech-Language Pathologists,SURINAME,none
Other Economic Sector,Accepted,10012,STUDIO ONE NETWORKS; INC.,Editors,GREECE,none
IT,Accepted,10001,MAJESCOMASTEK,Software Developers; Applications,INDIA,none
Hospitality,Accepted,10001,FAREPORTAL; INC.,Chief Executives,INDIA,none
Health Care,Accepted,10029,MOUNT SINAI MEDICAL CENTER,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10001,RICCI GREENE ARCHITECTS; PC,Architectural and Civil Drafters,TAIWAN,none
Other Economic Sector,Accepted,10281,NOMURA FUNDS RESEARCH & TECHNOLOGIES AMERICA; INC.,Financial Managers,JAPAN,none
Finance,Accepted,10007,MOODYS INVESTORS SERVICE; INC.,Financial Analysts,SPAIN,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,PHILIPPINES,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Mechanical Engineers,INDIA,none
Advanced Mfg,Accepted,11206,WOLSKI WOOD WORKS; INC.,Market Research Analysts and Marketing Specialists*,POLAND,none
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Mechanical Engineers,INDIA,none
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Mechanical Engineers,INDIA,none
Finance,Accepted,10019,MACQUARIE HOLDINGS (USA) INC.,Securities; Commodities; and Financial Services Sales Agents,INDIA,none
Construction,Accepted,11219,LIFTING SOLUTIONS CORP,Accountants,ISRAEL,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,NETHERLANDS,none
Other Economic Sector,Accepted,10006,CLEARY GOTTLIEB STEEN & HAMILTON LLP,Lawyers,TAIWAN,none
Educational Services,Accepted,10001,BLUEDATA INTERNATIONAL INSTITUTE,Instructional Coordinators,JAPAN,none
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Mechanical Engineers,INDIA,none
Other Economic Sector,Accepted,10036,THOMSON REUTERS MARKETS LLC,Financial Analysts,UNITED KINGDOM,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Finance,Accepted,10105,FORTRESS CAPITAL FINANCE III (A) LLC,Computer Systems Analysts,INDIA,none
Finance,Accepted,10022,BLACKROCK FINANCIAL MANAGEMENT,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10017,VIBRANT MEDIA,Market Research Analysts and Marketing Specialists*,INDIA,none
Finance,Accepted,10017,CIBC WORLD MARKETS CORP.,Financial Managers,IRELAND,none
